id,CVE,packageName,name,version,exploit,nvd-severity
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314647,['CVE-2023-0401'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314648,['CVE-2022-4203'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,4.9
SNYK-ALPINE317-OPENSSL-3314650,['CVE-2023-0215'],openssl,Use After Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314651,['CVE-2023-0286'],openssl,Access of Resource Using Incompatible Type ('Type Confusion'),3.0.7-r2,Not Defined,7.4
SNYK-ALPINE317-OPENSSL-3314657,['CVE-2022-4450'],openssl,Double Free,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314658,['CVE-2023-0216'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3314659,['CVE-2022-4304'],openssl,CVE-2022-4304,3.0.7-r2,Not Defined,5.9
SNYK-ALPINE317-OPENSSL-3314660,['CVE-2023-0217'],openssl,NULL Pointer Dereference,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-3368755,['CVE-2023-0464'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,7.5
SNYK-ALPINE317-OPENSSL-5291795,['CVE-2023-0465'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5296043,['CVE-2023-0466'],openssl,Improper Certificate Validation,3.0.7-r2,Not Defined,5.3
SNYK-ALPINE317-OPENSSL-5438697,['CVE-2023-1255'],openssl,Out-of-bounds Read,3.0.7-r2,Not Defined,5.9
SNYK-GOLANG-GITHUBCOMCONTAINERDCONTAINERDIMAGES-1922886,['CVE-2021-41190'],github.com/containerd/containerd/images,Type Confusion,v1.5.7,Not Defined,3
SNYK-GOLANG-GITHUBCOMCONTAINERDCONTAINERDOCI-3323388,['CVE-2023-25173'],github.com/containerd/containerd/oci,Improper Privilege Management,v1.5.7,Not Defined,5.3
SNYK-GOLANG-GOLANGORGXNETHTTP2-3028257,['CVE-2022-27664'],golang.org/x/net/http2,Denial of Service,v0.0.0-20220722155237-a158d28d115b,Not Defined,7.5
SNYK-GOLANG-GOLANGORGXNETHTTP2-3160322,['CVE-2022-41717'],golang.org/x/net/http2,Denial of Service (DoS),v0.0.0-20220722155237-a158d28d115b,Not Defined,5.3
SNYK-GOLANG-GOLANGORGXNETHTTP2-3323837,['CVE-2022-41723'],golang.org/x/net/http2,Denial of Service (DoS),v0.0.0-20220722155237-a158d28d115b,Not Defined,7.5
SNYK-GOLANG-GOLANGORGXNETHTTP2HPACK-3358253,['CVE-2022-41723'],golang.org/x/net/http2/hpack,Denial of Service (DoS),v0.0.0-20220722155237-a158d28d115b,Not Defined,7.5
SNYK-GOLANG-GOLANGORGXSYSUNIX-3310442,['CVE-2022-29526'],golang.org/x/sys/unix,Incorrect Privilege Assignment,v0.0.0-20220722155257-8c9f86f7a55f,Not Defined,5.3
SNYK-GOLANG-GOLANGORGXTEXTLANGUAGE-3043869,['CVE-2022-32149'],golang.org/x/text/language,Improper Input Validation,v0.3.7,Not Defined,5.3
